grupo,area,areacod,num,profes,est,salario,especie,lineas,jovinpre,artb,ponnal,ponint,otros,matripos,joinvcol,proyext,mov,centrosex,arta,caplibr,libr,patentes,gmaesdoc,inves,sumah,hmax,numproy,invesjun,gmaes,codi
Psicologiad,SOCIALES,4,204,0.693147182,1.646733642,5.48855114,0.693147182,1.386294365,0.693147182,1.809641361,0,1.609437943,0,1.646733642,0,0,0.693147182,0,0,0,0,0,0,0.405465096,0,0,0.693147182,0.693147182,0,3.249852419
Psicologiasyp,SOCIALES,4,205,1.941615224,1.495148778,6.979873657,2.336745977,1.386294365,1.386294365,2.483749628,0,0,0.693147182,1.495148778,0.693147182,2.864374638,1.098612309,0,0.454486459,0,0,0,0.405465096,0.91629076,0,0,2.197224617,1.386294365,0.693147182,5.077090263
PSYCONEX,SOCIALES,4,206,1.004301667,1.004301667,6.437561989,0.693147182,1.791759491,0,0,0,0,0,1.004301667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QPC,CIENCIAS,1,207,1.098612309,0,6.566906452,0.693147182,1.791759491,0,1.809641361,0,0,0.693147182,0,0,0,1.098612309,0.693147182,1.799725533,0,0,0,0,0.91629076,2.944438934,2.397895336,0,0.693147182,0,0
Quirema,CIENCIAS,1,208,2.302585125,1.791759491,7.852376461,3.467721224,1.609437943,1.386294365,2.07083869,2.197224617,3.218875885,0,1.791759491,0,7.602301598,1.609437943,1.098612309,3.114951372,0,0,1.791759491,1.252762914,1.791759491,4.007333279,3.135494232,2.079441547,1.386294365,0.693147182,4.976442814
QOPN,CIENCIAS,1,209,1.745715499,0,7.739253044,3.588795185,2.197224617,1.386294365,1.809641361,1.098612309,0,0,0,0,6.789155006,0.693147182,0.693147182,2.42133379,0,0,1.098612309,0.91629076,1.252762914,1.386294365,1.386294365,1.945910096,0.693147182,0.693147182,3.816615582
Recursos,SOCIALES,4,210,1.280933857,1.593308568,6.744889736,2.784806013,2.564949274,1.386294365,1.809641361,1.098612309,0,0,1.593308568,0,7.279245377,1.098612309,0,0,0,0,0,1.252762914,0.810930192,0,0,1.791759491,0.693147182,1.791759491,4.856436253
RAES,SOCIALES,4,211,1.822935104,0,6.78790617,0.693147182,1.386294365,0.693147182,2.07083869,1.609437943,0,0.693147182,0,0,3.682896376,0,0,1.734255791,1.098612309,0,0,0,1.098612309,0,0,0.693147182,1.609437943,0,3.503468037
Rehabilitacion,SALUD,3,212,2.084429026,1.536867261,7.258737564,3.939096451,2.197224617,1.098612309,2.875808716,1.098612309,0,1.098612309,1.536867261,0,5.454134941,0.693147182,0,2.179161787,0,0,0,0.693147182,1.252762914,2.079441547,1.791759491,0.693147182,0,1.098612309,4.509700298
RCyS,SOCIALES,4,213,1.316408277,0.548121393,6.629001617,0.693147182,1.791759491,0.693147182,2.638545036,2.397895336,2.397895336,2.564949274,0.548121393,1.098612309,0,0,0,0.454486459,0,0,0,1.098612309,1.704748034,0,0,0.693147182,1.386294365,1.609437943,3.409996986
RSS,SALUD,3,214,2.375835657,0,7.135622978,1.685001969,1.609437943,1.098612309,2.07083869,0,0,1.098612309,0,0,3.611027241,1.945910096,0,2.360442877,1.609437943,0,0,0.91629076,1.098612309,1.098612309,0.693147182,1.386294365,1.609437943,0.693147182,2.325695276
Rituales,SOCIALES,4,215,0.900161326,0.548121393,5.630431175,0.693147182,1.098612309,1.098612309,0,0,0,0,0.548121393,0,6.368999004,0.693147182,0,0,0,0,0,0,0.405465096,0,0,0.693147182,0.693147182,0,0
Saber,SOCIALES,4,216,1.137832999,0,6.206064224,0.693147182,2.197224617,0,2.07083869,1.098612309,0,0,0,0,0,1.386294365,0,0,0,0,0,0,0.693147182,0,0,0,1.098612309,0,0
SBB,SALUD,3,217,1.432700753,0,6.528420448,0.693147182,1.386294365,0.693147182,3.117721558,0,0,1.386294365,0,0,4.851355553,0.693147182,0,2.830725193,1.098612309,1.098612309,0,0,0.810930192,2.397895336,1.945910096,1.098612309,0.693147182,0,3.63403511
Smental,SALUD,3,218,2.163322926,0.548121393,7.376228333,3.946458817,2.079441547,1.386294365,2.380313635,1.609437943,0,1.386294365,0.548121393,0.693147182,4.923295975,0.693147182,0,1.775654912,1.609437943,0,0,2.014903069,0.559615791,1.609437943,1.098612309,2.302585125,0,2.639057398,4.416022301
SSyC,SALUD,3,219,1.241268635,0,6.629677773,5.239091873,1.791759491,1.098612309,1.809641361,0,1.098612309,1.386294365,0,0,4.398013592,0.693147182,0,0.454486459,0,0,0,0.693147182,0.559615791,0,0,1.609437943,0,1.098612309,4.552649498
